self_brand,compatibility_category,detected_brands,title,product_brand,source_url,compatibility
Lenovo,self-only,Lenovo,Compatible Display 00NY406 14.0 in 2560x1440 / WQHD 40-pin LVDS,Lenovo,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-00ny406-37802411,"Panel part numbers: 00NY406. Compatible laptop models: Lenovo ThinkPad T460p (20FW/20FX), Lenovo ThinkPad T460s (20FA/20F9), Lenovo ThinkPad X1 Carbon 4th Gen (20FC/20FB), Lenovo ThinkPad T470s (20HF/20HG/20JS/20JT), Lenovo ThinkPad T470p (20J6/20J7). Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Lenovo,self-only,Lenovo,Compatible Display 00NY409 14.0 in 1920x1080 / 0 30-pin eDP,Lenovo,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-00ny409-113967706,"Panel part numbers: 00NY409. Compatible laptop models: Lenovo ThinkPad T460 (20FN/20FM), Lenovo ThinkPad T460s (20FA/20F9). Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Lenovo,self-only,Lenovo,Compatible Display 00NY413 14.0 in 2560x1440 / WQHD 40-pin LVDS,Lenovo,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-00ny413-37802413,"Panel part numbers: 00NY413, 00HN878, 00NY440, 01HW908. Compatible laptop models: Lenovo ThinkPad T470p (20J6/20J7), Lenovo ThinkPad T460p (20FW/20FX), Lenovo ThinkPad T460s (20FA/20F9), Lenovo ThinkPad X1 Carbon 4th Gen (20FC/20FB), Lenovo ThinkPad T470s (20HF/20HG/20JS/20JT). Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Lenovo,self-only,Lenovo,Compatible Display 00NY414,Lenovo,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-00ny414-145201422,"Panel part numbers: 00NY414. Compatible laptop models: Lenovo ThinkPad X240 (20AL), Lenovo ThinkPad X240 (20AM), Lenovo ThinkPad X240s (20AK/20AJ), Lenovo ThinkPad X250 (20CL/20CM), Lenovo ThinkPad X260 (20F5/20F6), Lenovo ThinkPad X270 (20HN/20HM), Lenovo ThinkPad X270 (20K6/20K5). Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Lenovo,self-only,Lenovo,Compatible Display 00NY415 14.0 in 1920x1080 / 0 30-pin eDP,Lenovo,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-00ny415-113967707,"Panel part numbers: 00NY415. Compatible laptop models: Lenovo ThinkPad T460 (20FN/20FM), Lenovo ThinkPad T460s (20FA/20F9). Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Lenovo,self-only,Lenovo,Compatible Display 00NY420 14.0 in 1920x1080 / FHD 40-pin eDP,Lenovo,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-00ny420-102988749,"Panel part numbers: 00NY420, 00NY686, 00NY691, 00UR895. Compatible laptop models: Lenovo ThinkPad A485 (20MU/20MV), Lenovo ThinkPad L490 (20Q5/20Q6), Lenovo ThinkPad L480 (20LS/20LT), Lenovo ThinkPad T470s (20HF/20HG/20JS/20JT), Lenovo ThinkPad T480s (20L7/20L8), Lenovo ThinkPad T480 (20L5/20L6), Lenovo ThinkPad A475 (20KL/20KM), Lenovo ThinkPad 25 (20K7). Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Lenovo,self-only,Lenovo,Compatible Display 00NY421 14.0 in 1920x1080 / FHD 40-pin eDP,Lenovo,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-00ny421-102988750,"Panel part numbers: 00NY421, B140HAK01.0, R140NWF5 R1, R140NWF5. Compatible laptop models: Lenovo ThinkPad A485 (20MU/20MV), Lenovo ThinkPad L480 (20LS/20LT), Lenovo ThinkPad L490 (20Q5/20Q6), Lenovo ThinkPad T470s (20HF/20HG/20JS/20JT), Lenovo ThinkPad T480s (20L7/20L8), Lenovo ThinkPad T480 (20L5/20L6), Lenovo ThinkPad A475 (20KL/20KM), Lenovo ThinkPad 25 (20K7), Lenovo ThinkPad T470 (20HD/20HE), Lenovo ThinkPad T470 (20JM/20JN). Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Lenovo,self-only,Lenovo,Compatible Display 00NY435 14.0 in 1920x1080 / FHD 30-pin eDP,Lenovo,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-00ny435-101994704,"Panel part numbers: 00NY435. Compatible laptop models: Lenovo ThinkPad X1 Carbon 6th Gen (20KH/20KG), Lenovo ThinkPad X1 Carbon 5th Gen (20HR/20HQ), Lenovo ThinkPad X1 Carbon 5th Gen (20K4/20K3). Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Lenovo,self-only,Lenovo,Compatible Display 00NY436 14.0 in 1920x1080 / FHD 30-pin eDP,Lenovo,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-00ny436-80236409,"Panel part numbers: 00NY436, T618533, B140HAN03.1. Compatible laptop models: Lenovo ThinkPad X1 Carbon 6th Gen (20KH/20KG), Lenovo ThinkPad X1 Carbon 5th Gen (20HR/20HQ), Lenovo ThinkPad X1 Carbon 5th Gen (20K4/20K3). Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Lenovo,self-only,Lenovo,Compatible Display 00NY442 14.0 in 1920x1080 / 0 30-pin eDP,Lenovo,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-00ny442-113967708,"Panel part numbers: 00NY442. Compatible laptop models: Lenovo ThinkPad T460 (20FN/20FM), Lenovo ThinkPad T460s (20FA/20F9). Match screen size, resolution, connector pins, connector position and bracket style before ordering."
